Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2006-08-18,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-18,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-18,3.93,3.93,3.93,3.93,WIBID_ON
2006-08-17,4.1,4.1,4.1,4.1,WIBOR_ON
2006-08-17,4.26,4.26,4.26,4.26,WIBOR_6M
2006-08-17,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-17,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-17,3.93,3.93,3.93,3.93,WIBID_ON
2006-08-16,4.08,4.08,4.08,4.08,WIBOR_ON
2006-08-16,4.26,4.26,4.26,4.26,WIBOR_6M
2006-08-16,4.18,4.18,4.18,4.18,WIBOR_3M
2006-08-16,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-16,3.91,3.91,3.91,3.91,WIBID_ON
2006-08-14,4.09,4.09,4.09,4.09,WIBOR_ON
2006-08-14,4.26,4.26,4.26,4.26,WIBOR_6M
2006-08-14,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-14,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-14,3.92,3.92,3.92,3.92,WIBID_ON
2006-08-11,4.11,4.11,4.11,4.11,WIBOR_ON
2006-08-11,4.25,4.25,4.25,4.25,WIBOR_6M
2006-08-11,4.18,4.18,4.18,4.18,WIBOR_3M
2006-08-11,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-11,3.94,3.94,3.94,3.94,WIBID_ON
2006-08-10,4.09,4.09,4.09,4.09,WIBOR_ON
2006-08-10,4.24,4.24,4.24,4.24,WIBOR_6M
2006-08-10,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-10,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-10,3.92,3.92,3.92,3.92,WIBID_ON
2006-08-09,4.1,4.1,4.1,4.1,WIBOR_ON
2006-08-09,4.24,4.24,4.24,4.24,WIBOR_6M
2006-08-09,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-09,4.11,4.11,4.11,4.11,WIBOR_1M
2006-08-09,3.93,3.93,3.93,3.93,WIBID_ON
2006-08-08,4.09,4.09,4.09,4.09,WIBOR_ON
2006-08-08,4.24,4.24,4.24,4.24,WIBOR_6M
2006-08-08,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-08,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-08,3.87,3.87,3.87,3.87,WIBID_ON
2006-08-07,4,4,4,4,WIBOR_ON
2006-08-07,4.26,4.26,4.26,4.26,WIBOR_6M
2006-08-07,4.18,4.18,4.18,4.18,WIBOR_3M
2006-08-07,4.12,4.12,4.12,4.12,WIBOR_1M
